"stat"	"kopsy"
"1"	3	4
"2"	4	3
"3"	3	5
"4"	1	6
"5"	4	6
"6"	2	4
"7"	3	3
"8"	1	8
"9"	4	4
"10"	3	5
"11"	2	7
"12"	4	4
"13"	4	3
"14"	5	5
"15"	3	4
"16"	3	4
"17"	3	4
"18"	1	5
"19"	2	4
"20"	3	4
"21"	3	5
"22"	5	4
"23"	6	3
"24"	2	7
"25"	2	6
"26"	1	9
"27"	4	6
"28"	4	4
"29"	2	6
"30"	5	4
"31"	3	3
"32"	4	7
"33"	4	3
"34"	2	4
"35"	4	4
"36"	3	5
"37"	4	3
"38"	2	3
"39"	4	3
"40"	2	7
"41"	4	3
"42"	2	7
"43"	2	6
"44"	3	6
"45"	4	6
"46"	3	3
"47"	3	4
"48"	3	6
"49"	3	4
"50"	3	4
"51"	3	7
"52"	3	4
"53"	1	3
"54"	2	5
"55"	3	4
"56"	3	8
"57"	1	4
"58"	4	5
"59"	4	4
"60"	3	4
"61"	3	4
"62"	3	6
"63"	3	4
"64"	3	8
"65"	3	6
"66"	3	6
"67"	4	3
"68"	2	4
"69"	3	5
"70"	2	3
"71"	0	7
"72"	3	7
"73"	4	3
"74"	3	8
"75"	2	4
"76"	4	7
"77"	4	4
"78"	4	3
"79"	4	5
"80"	2	7
"81"	4	5
"82"	3	5
"83"	4	8
"84"	3	6
"85"	4	5
"86"	4	4
"87"	5	8
"88"	3	4
"89"	3	7
"90"	3	3
"91"	2	6
"92"	3	5
"93"	2	10
"94"	3	4
"95"	2	4
"96"	3	4
"97"	2	3
"98"	3	6
"99"	2	7
"100"	2	4
